ImageId,PinNumber,VisualResultType,Result,logic1,logic2,logic3,logic4,logic5,logic6,logic7,logic8,logic9,logic10
1,1,0,0,14,14,36,40,19,9,7,21,35,26
2,2,0,0,62,34,26,27,12,37,27,52,54,33
3,2,0,0,54,40,12,19,34,9,27,19,38,18
4,3,0,0,34,15,38,29,10,16,35,18,30,50
5,2,0,0,33,32,44,48,11,9,31,0,16,30
6,2,0,0,7,35,15,48,23,52,26,35,50,20
7,3,0,0,31,19,11,41,39,15,13,32,8,41
8,3,0,0,0,47,35,60,34,43,16,22,43,4
9,3,0,0,41,20,10,39,27,34,9,21,16,28
10,3,0,0,39,27,2,53,28,57,14,36,41,29
11,3,0,0,70,22,37,25,23,53,32,35,14,18
12,1,0,0,36,44,19,6,16,21,27,28,26,7
13,3,0,0,43,60,41,38,23,12,37,17,31,16
14,3,0,0,26,59,42,34,7,33,44,9,36,36
15,3,0,0,26,39,20,23,44,34,41,9,7,26
16,1,0,0,34,61,38,30,14,18,32,30,19,34
17,3,0,0,26,30,36,27,53,58,28,60,46,39
18,1,0,0,28,71,24,44,35,51,14,31,8,0
19,3,0,0,40,24,28,56,14,34,37,24,4,31
20,3,0,0,34,38,17,53,16,34,27,23,46,25
21,2,0,0,31,35,9,11,56,26,30,46,8,20
22,3,0,0,29,61,35,26,28,13,23,19,34,44
23,1,0,0,12,14,23,48,13,12,24,51,18,37
24,2,0,0,24,28,21,25,77,46,47,45,38,74
25,2,0,0,31,30,37,29,36,31,21,50,54,62
26,3,0,0,10,12,36,52,17,14,17,13,54,6
27,2,0,0,51,18,38,3,19,36,31,13,37,48
28,1,0,0,29,38,30,33,37,12,44,26,31,7
29,2,0,0,40,12,12,16,18,24,39,46,26,44
30,2,0,0,28,48,25,33,38,11,17,14,12,7
31,2,0,0,33,31,28,35,40,24,35,26,23,32
32,2,0,0,22,14,16,10,0,20,7,40,40,4
33,2,0,0,15,39,42,14,29,31,19,24,43,56
34,3,0,0,41,35,36,25,18,29,41,9,54,22
35,1,0,0,48,40,11,18,18,7,11,29,32,36
36,2,0,0,13,31,4,17,23,31,5,47,4,0
37,1,0,0,7,28,38,49,10,49,67,22,25,40
38,2,0,0,27,23,44,22,28,35,22,38,32,33
39,1,0,0,24,27,34,39,23,35,0,24,51,15
40,3,0,0,38,47,52,36,38,47,39,52,43,35
41,1,0,0,34,29,41,28,20,26,30,44,22,20
42,2,0,0,40,37,19,36,52,32,19,48,15,21
43,3,0,0,56,32,21,45,37,20,8,3,19,31
44,2,0,0,35,38,33,16,37,40,31,40,23,20
45,1,0,0,19,49,11,16,36,18,52,18,59,12
46,1,0,0,7,16,33,61,16,38,5,26,58,36
47,3,0,0,67,45,7,40,15,34,34,10,53,22
48,3,0,0,55,28,34,13,15,27,4,37,10,35
49,1,0,0,0,20,26,22,48,20,10,61,10,13
50,1,0,0,24,1,9,26,15,0,12,10,50,31
51,1,0,0,7,51,39,29,42,14,36,31,29,14
52,3,0,0,34,44,1,51,13,5,24,40,2,36
53,3,0,0,19,3,27,46,50,18,17,40,14,37
54,1,0,0,47,38,57,47,32,38,33,1,3,27
55,3,0,0,45,48,23,26,34,19,32,59,17,14
56,1,0,0,1,23,2,41,14,25,54,41,61,25
57,1,0,0,30,36,49,31,29,40,29,15,4,21
58,3,0,0,18,43,2,37,52,46,17,33,50,29
59,1,0,0,44,31,40,32,0,54,31,30,27,19
60,2,0,0,23,35,23,16,40,28,37,35,41,19
61,3,0,0,18,22,32,30,33,21,48,47,13,15
62,1,0,0,23,23,46,13,16,39,54,35,30,36
63,2,0,0,19,34,56,18,26,21,30,26,48,31
64,1,0,0,9,26,46,23,17,35,44,12,49,28
65,2,0,0,23,40,36,34,32,34,25,27,32,23
66,1,0,0,27,35,15,17,29,6,34,27,33,12
67,2,0,0,32,23,20,6,41,38,10,57,0,29
68,2,0,0,23,41,32,45,27,36,39,38,55,67
69,2,0,0,47,27,17,13,70,31,40,37,37,33
70,3,0,0,30,54,36,40,27,19,44,8,28,41
71,3,160,1,78,65,59,66,56,64,50,49,32,63
72,2,160,1,63,46,50,64,71,47,63,41,61,60
73,2,160,1,71,71,65,57,68,54,53,61,71,64
74,2,160,1,59,53,63,63,68,54,57,55,61,54
75,1,160,1,64,47,69,58,55,46,49,74,66,55
76,2,160,1,52,64,66,53,80,62,62,65,62,69
77,3,160,1,65,74,65,54,53,58,60,60,36,41
78,3,160,1,73,62,58,47,52,45,60,53,57,69
79,2,160,1,45,47,64,56,69,67,48,39,75,62
80,2,160,1,49,52,65,72,67,43,47,60,44,52
81,1,160,1,66,58,59,60,67,53,64,66,63,65
82,2,160,1,46,59,50,59,69,63,69,58,52,51
83,3,160,1,66,59,60,48,61,58,79,55,89,44
84,3,160,1,53,62,55,74,73,76,49,52,69,62
85,2,160,1,65,55,69,64,78,58,80,62,55,57
86,1,160,1,51,64,68,54,57,55,47,57,75,55
87,3,160,1,44,42,60,42,49,69,72,70,64,62
88,1,160,1,59,76,35,53,65,60,66,51,55,34
89,2,160,1,66,52,57,74,50,61,52,62,72,63
90,1,160,1,49,58,63,59,70,42,55,66,71,88
91,1,160,1,65,61,62,51,65,74,50,59,48,74
92,3,160,1,41,52,67,63,71,70,67,68,56,53
93,3,160,1,55,46,50,62,61,64,58,61,40,61
94,1,160,1,63,46,55,65,61,78,61,61,37,67
95,3,160,1,65,61,66,56,68,78,67,59,66,64
96,1,160,1,47,52,59,59,69,53,44,48,53,59
97,2,160,1,61,66,67,76,41,42,56,64,57,63
98,3,160,1,67,78,77,56,65,45,58,65,56,60
99,3,160,1,72,75,78,75,57,70,58,72,69,57
100,1,160,1,65,60,67,52,52,50,63,69,58,68
